customer_id,name,age,income,signup_date,purchases,gender,segment,signup_month,income_minmax,income_log,segment_encoded,purchases_per_age,income_per_purchase,city_Curitiba,city_Porto Alegre,city_Rio de Janeiro,city_São Paulo,city_Unknown
101,Ana,25.0,4200.0,2024-01-10,3.0,F,Basic,1,0.0,8.343077871169383,0,0.12,1400.0,False,True,False,False,False
102,Bruno,31.0,5100.0,2024-02-15,5.0,M,Basic,2,0.003661513425549227,8.537191877922927,0,0.16129032258064516,1020.0,False,True,False,False,False
103,Carla,28.5,7900.0,2024-03-15,7.0,F,Premium,3,0.015052888527257934,8.974744612722734,1,0.24561403508771928,1128.5714285714287,False,False,False,True,False
104,Daniel,29.0,5100.0,2024-04-01,2.0,M,Basic,4,0.003661513425549227,8.537191877922927,0,0.06896551724137931,2550.0,False,False,True,False,False
105,Eva,28.5,6100.0,2024-05-11,4.0,F,Premium,5,0.007729861676159479,8.716207971151853,1,0.14035087719298245,1525.0,False,False,True,False,False
106,Unknown,41.0,5800.0,2024-05-11,3.0,M,Basic,5,0.006509357200976403,8.665785595466064,0,0.07317073170731707,1933.3333333333333,True,False,False,False,False
107,Gustavo,28.5,4700.0,2024-06-20,1.0,M,Basic,6,0.0020341741253051262,8.45553053102413,0,0.03508771929824561,4700.0,True,False,False,False,False
108,Helena,36.0,250000.0,2024-07-01,30.0,F,Premium,7,1.0,12.429220196836383,1,0.8333333333333334,8333.333333333334,False,False,False,False,True
109,Igor,28.0,5100.0,2024-05-11,2.0,M,Basic,5,0.003661513425549227,8.537191877922927,0,0.07142857142857142,2550.0,False,True,False,False,False
110,Julia,28.0,4300.0,2024-08-10,3.0,F,Basic,8,0.0004068348250610252,8.366602832783736,0,0.10714285714285714,1433.3333333333333,False,False,False,True,False
111,Julia,28.0,4300.0,2024-08-10,3.0,F,Basic,8,0.0004068348250610252,8.366602832783736,0,0.10714285714285714,1433.3333333333333,False,False,False,True,False
